line,priority,category,current,action,target
4961,low,bold_label_review,**Improved (Synthesised Across Sources)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4965,low,bold_label_review,**Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4972,high,process_rationale_callout,"> **Why this works:** The improved paragraph is more useful because it groups information by theme rather than by source. It shows where sources overlap, where they differ, and what the combined evidence suggests.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
4974,high,activity_heading,#### Reading-to-Write Input (B6),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4992,high,activity_heading,#### Sentence Rewriting — Grouping Information and Showing Relationships (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4996,high,writing_goal_label,"**Writing goal:** Combine information from multiple sources into thematic, coherent sentences.",Convert to writing-goal component,`writing-goal`: production target before writing task.
4998,low,bold_label_review,**Useful patterns — Grouping by theme:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
5004,low,bold_label_review,**Useful patterns — Contrast and agreement:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
5010,low,bold_label_review,**Useful patterns — Insight:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
5016,low,bold_label_review,"**Rewrite the following as thematic, synthesised sentences.**",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
5023,high,activity_heading,#### Phrase Bank Building (C8),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
