line,priority,change_type,target_class,current_text,action,target_pattern,notes
4421,medium,review_blockquote_label,learn-note,"> **Overall Assessment:** The revised document provides clearer guidance in several sections, particularly the updated chronology table. The structure is generally easier to follow than the previous version.",Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
4423,medium,review_blockquote_label,learn-note,> **Strengths:**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
4427,medium,review_blockquote_label,learn-note,> **Areas for Improvement:**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
4431,medium,review_blockquote_label,learn-note,> **Recommendation:** Clarifying key definitions and improving the logical flow between steps would significantly enhance overall usability.,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
4440,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved evaluation is more credible because it separates observation from judgement. It names specific strengths and weaknesses, supports them with evidence, and frames recommendations as constructive improvements rather than personal criticism.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
4442,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Annotated Model (B4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Annotated Model — Activity Focus (B4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4446,medium,normalize_bold_structural_label,semantic-label,**Annotations:**,Convert bold structural label to compact label style or Div if block-level,**Annotations:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
4481,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Error Identification & Correction (C4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Error Identification & Correction — Activity Focus (C4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4492,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
4504,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Model Rewriting (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Model Rewriting — Improve Tone and Cohesion (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4518,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4519,high,normalize_placeholder_line,placeholder,{{PH-2: U16-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U16-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
4523,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** As you revise, check whether each claim matches the strength of the evidence. If the problem is local, describe it locally. If the document has both strengths and weaknesses, make both visible.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
4529,medium,convert_or_review_blockquote_group,semantic-div,"> *The revised terminology guide is useful in some respects, but several parts are not very good and may confuse readers. Some sections are clearer than before, but other parts still need a lot of work. The examples are helpful, although the ordering is not always logical. Overall, the document should probably be improved before it is shared more widely.*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
4547,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
4548,high,normalize_placeholder_line,placeholder,{{PH-3: U16-D6-revision-chain}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U16-D6-revision-chain}}
:::",Preserve the placeholder token exactly.
4552,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4572,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4573,high,normalize_placeholder_line,placeholder,{{PH-4: U16-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U16-E1-freer-write}}
:::",Preserve the placeholder token exactly.
4577,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Comparative Peer Review (F2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Comparative Peer Review — Activity Focus (F2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4591,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4605,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Track-Change Simulation (G3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Track-Change Simulation — Activity Focus (G3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4628,high,normalize_placeholder_line,placeholder,**Write Your Decisions**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Decision Notes 
:::",Preserve placeholder token exactly if present.
4629,high,normalize_placeholder_line,placeholder,{{PH-2: U16-G3-decision-notes}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U16-G3-decision-notes}}
:::",Preserve the placeholder token exactly.
4633,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4644,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4645,high,normalize_placeholder_line,placeholder,{{PH-4: U16-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U16-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
4647,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4672,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Prediction Task (A4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Prediction Task — Activity Focus (A4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4686,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4690,medium,convert_or_review_blockquote_group,semantic-div,"> *""We discussed the form revision issue and people had different views. We need to talk more about it and decide later.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
4694,medium,review_blockquote_label,learn-note,"> **Overview:** The working group reviewed the proposed revision to the applicant communication form, focusing on clarity, consistency, and feasibility.",Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
